"","month","year","site","inj","tick"
"1",1,"2010","mas",778.61,347.75
"2",2,"2010","mas",778.56,347.71
"3",3,"2010","mas",705.41,299.29
"4",4,"2010","mas",694.33,291.96
"5",5,"2010","mas",662.76,271.06
"6",6,"2010","mas",654.37,265.51
"7",7,"2010","mas",635.22,252.83
"8",8,"2010","mas",633.46,251.66
"9",9,"2010","mas",577.73,214.77
"10",10,"2010","mas",542.08,191.17
"11",11,"2010","mas",530.98,183.83
"12",12,"2010","mas",519.86,176.46
"13",13,"2011","mas",524.36,222.57
"14",14,"2011","mas",491.26,187.42
"15",15,"2011","mas",483.77,179.48
"16",16,"2011","mas",504.97,201.98
"17",17,"2011","mas",558.53,258.84
"18",18,"2011","mas",467.74,162.45
"19",19,"2011","mas",493.83,190.15
"20",20,"2011","mas",574.72,276.04
"21",21,"2011","mas",520.01,217.94
"22",22,"2011","mas",457.68,151.77
"23",23,"2011","mas",568.48,269.41
"24",24,"2011","mas",464.7,159.23
"25",1,"2010","hoh",737.81,219.05
"26",2,"2010","hoh",697.95,207.05
"27",3,"2010","hoh",682.48,202.39
"28",4,"2010","hoh",667.54,197.89
"29",5,"2010","hoh",657.95,195.01
"30",6,"2010","hoh",637.37,188.81
"31",7,"2010","hoh",629.09,186.32
"32",8,"2010","hoh",604.18,178.82
"33",9,"2010","hoh",597.78,176.89
"34",10,"2010","hoh",592.77,175.38
"35",11,"2010","hoh",549.3,162.29
"36",12,"2010","hoh",534.58,157.86
"37",13,"2011","hoh",641.47,208.38
"38",14,"2011","hoh",589.09,181.47
"39",15,"2011","hoh",655.46,215.57
"40",16,"2011","hoh",577.59,175.56
"41",17,"2011","hoh",619.86,197.27
"42",18,"2011","hoh",587.74,180.77
"43",19,"2011","hoh",609.81,192.11
"44",20,"2011","hoh",610.17,192.3
"45",21,"2011","hoh",612.41,193.45
"46",22,"2011","hoh",547.94,160.33
"47",23,"2011","hoh",545.99,159.32
"48",24,"2011","hoh",659.36,217.57
"49",1,"2010","pri",577.81,191.11
"50",2,"2010","pri",548.3,179.43
"51",3,"2010","pri",485.96,154.74
"52",4,"2010","pri",483.63,153.82
"53",5,"2010","pri",468.26,147.73
"54",6,"2010","pri",462.43,145.42
"55",7,"2010","pri",438.25,135.84
"56",8,"2010","pri",433.94,134.14
"57",9,"2010","pri",372.96,109.99
"58",10,"2010","pri",350.95,101.27
"59",11,"2010","pri",331.41,93.53
"60",12,"2010","pri",285.2,75.23
"61",13,"2011","pri",389.26,121.41
"62",14,"2011","pri",423.36,133.89
"63",15,"2011","pri",441.82,140.64
"64",16,"2011","pri",486.71,157.05
"65",17,"2011","pri",446.37,142.3
"66",18,"2011","pri",468.27,150.31
"67",19,"2011","pri",378.09,117.33
"68",20,"2011","pri",395.06,123.54
"69",21,"2011","pri",433.79,137.7
"70",22,"2011","pri",416.94,131.54
"71",23,"2011","pri",366.38,113.04
"72",24,"2011","pri",355.37,109.02
