"year","age","gender","uli","region"
2,32,"female",46.0874603931664,"south"
2,31,"male",39.3073408814887,"north"
1,30,"male",66.5442392388838,"north"
3,31,"female",47.5231144083643,"south"
6,37,"male",27.3,"north"
3,34,"female",65.4286700026307,"north"
6,31,"female",52,"south"
3,38,"male",75.8488762632173,"north"
3,38,"female",56.5403266788875,"south"
1,34,"male",51.5838941800299,"south"
3,33,"male",49.5249665618522,"north"
1,34,"male",27.0583496121221,"north"
6,34,"male",48.1,"south"
3,35,"male",61.0239490771422,"north"
6,33,"male",64.4,"south"
1,36,"female",61.3099941067824,"south"
6,35,"female",57.9,"south"
2,39,"male",39.4582896935145,"north"
6,39,"male",61,"south"
1,33,"female",68.4185724361227,"south"
6,39,"male",62.2,"south"
2,39,"male",67.3216221436173,"south"
1,31,"male",49.6277459822852,"south"
1,36,"female",24.37038386627,"south"
3,33,"male",63.9325617098691,"south"
2,35,"male",47.1437752019488,"north"
2,39,"female",77.4255587499965,"north"
1,39,"female",39.7854137404076,"north"
6,37,"male",55.1,"south"
2,37,"male",42.2422249237292,"north"
6,39,"female",49.8732060607507,"north"
3,31,"female",70.309731451825,"north"
6,34,"female",62.8166520791235,"north"
3,37,"female",76.6053794358167,"south"
2,38,"female",27.9949873897294,"north"
1,36,"female",77.7613511099321,"north"
1,33,"male",53.5976043298214,"north"
6,31,"male",49.4241226257038,"north"
6,32,"female",52.2,"north"
3,38,"male",49.0752222373329,"north"
6,38,"male",68.8,"south"
1,37,"female",50.4928597204677,"south"
3,32,"female",50.4628773227531,"north"
6,36,"male",35.2,"south"
2,35,"male",58.8761538070542,"south"
3,33,"female",39.813665758545,"south"
6,35,"female",65.1,"south"
1,39,"male",87.5030695179488,"north"
3,36,"female",53.2588571410111,"north"
2,32,"male",34.766183812159,"south"
3,30,"male",54.6543319236238,"south"
6,37,"male",51.4,"south"
2,32,"male",39.1927867045163,"north"
1,37,"female",56.0272420688344,"north"
1,32,"male",35.6628262003005,"north"
3,35,"male",46.1449341526428,"south"
2,39,"male",42.7615507113605,"south"
3,33,"male",59.2966998200547,"north"
1,30,"male",44.4280091990757,"south"
1,32,"male",51.2874733321755,"south"
6,39,"male",48.6,"north"
1,39,"male",56.129773689516,"north"
3,36,"female",43.6082664513243,"north"
6,30,"male",34.6,"south"
6,38,"male",32.6,"south"
3,30,"female",43.4112400628734,"north"
3,35,"female",67.5723013393913,"south"
3,35,"female",81.8920810238467,"south"
6,37,"female",59.5,"south"
3,36,"male",26.0698424162301,"north"
2,38,"male",52.9310128575347,"south"
6,38,"female",53.2,"south"
6,36,"male",42.5,"south"
1,32,"female",58.5005904309627,"south"
6,30,"female",72.8939753104547,"north"
2,39,"female",65.4906281027855,"south"
1,39,"female",60.7010515829373,"north"
3,36,"male",59.7824543208862,"south"
6,33,"female",55,"south"
2,39,"male",56.3198678721985,"north"
1,33,"male",60.0494599644687,"south"
6,35,"female",78.6,"south"
6,35,"female",86.7,"north"
1,36,"female",57.5361379188724,"north"
3,34,"male",45.6743650881636,"north"
2,39,"female",47.7226228526978,"north"
1,39,"female",70.3935668770469,"south"
1,38,"male",28.6367685881717,"north"
1,34,"female",54.7862548488877,"south"
3,36,"female",69.6852191404713,"north"
6,31,"male",56.8,"north"
3,37,"female",56.8809266504758,"south"
6,31,"male",48.9,"south"
6,39,"male",69.2683807311355,"north"
2,33,"female",47.8952434674708,"north"
2,37,"female",35.3599714396143,"north"
2,35,"female",73.4280693734027,"south"
1,30,"male",56.6699120785819,"south"
2,30,"male",51.0050141376079,"south"
1,38,"female",37.0975026680258,"south"
3,31,"female",59.5787793191631,"south"
1,34,"female",54.5321855979455,"south"
1,34,"male",78.1355482897427,"south"
3,33,"male",54.6273069853527,"south"
2,38,"male",40.0678701135611,"south"
2,38,"male",62.396434742149,"north"
6,38,"female",55.5,"south"
2,33,"female",62.6538454685964,"north"
2,39,"female",66.1637071965346,"north"
2,34,"female",42.7459795048708,"south"
6,33,"female",74.3,"south"
6,38,"female",36.3,"south"
6,37,"female",58.8040913971505,"north"
2,34,"female",59.2500470629057,"south"
6,38,"male",28.9,"north"
2,33,"female",57.7356443749216,"north"
1,32,"male",61.2805227453371,"south"
6,35,"female",69.6,"north"
1,37,"male",62.5397504671715,"north"
2,34,"male",60.2346873671619,"north"
3,30,"female",61.4941052260033,"south"
6,39,"female",51.257341254687,"north"
2,32,"female",73.3193160249678,"north"
3,32,"male",49.2341883967515,"north"
2,33,"female",59.4753204702781,"south"
3,37,"female",51.6332102977796,"north"
2,34,"male",33.8480834243292,"north"
6,32,"male",63,"north"
2,37,"male",52.5284342199931,"south"
2,33,"male",53.6655353579524,"north"
2,34,"female",71.7628736662314,"south"
1,39,"female",51.3953735837857,"south"
3,36,"female",57.1992199996569,"south"
3,35,"male",63.8749129553307,"north"
1,34,"male",43.6895206948485,"north"
1,35,"male",14.4873082509535,"north"
2,39,"male",36.9177112313442,"south"
3,32,"female",51.587643664909,"south"
3,36,"female",60.3752841683538,"south"
1,34,"male",69.320872717424,"south"
1,36,"male",68.5051837142847,"south"
3,35,"female",59.0271228908825,"north"
1,37,"male",51.3389888117664,"north"
2,38,"female",47.3347521982141,"north"
6,34,"female",56.7,"south"
1,35,"male",43.5910763098368,"north"
3,36,"female",61.7200856081563,"north"
2,35,"male",44.7765834953051,"north"
1,36,"female",76.4435379237292,"north"
1,32,"male",61.2911505220072,"south"
3,34,"female",62.2304601282386,"south"
6,39,"male",44,"north"
2,34,"female",31.7626046892786,"south"
3,35,"female",42.1907298646103,"south"
1,35,"female",54.9463406223159,"south"
1,36,"female",35.7369633030909,"south"
3,31,"female",61.4220351683709,"south"
1,31,"female",64.133954449587,"north"
1,37,"male",50.4872990386963,"north"
6,34,"female",58.1491246918257,"north"
6,30,"female",34.4,"south"
6,37,"female",47,"south"
6,30,"male",36.6,"north"
3,35,"female",30.2641182728153,"south"
1,30,"male",58.0239520025715,"north"
6,37,"male",74.6,"north"
6,38,"female",37.2944058498611,"north"
1,32,"male",41.3044650702062,"south"
1,31,"male",56.2773963228176,"north"
3,38,"female",43.0419667531749,"north"
2,34,"female",68.1813595848691,"south"
3,32,"male",40.7404031429238,"north"
1,37,"male",55.7657793680636,"south"
2,34,"female",35.4905121760674,"south"
3,31,"female",68.7789175475738,"north"
1,32,"female",41.7930051730055,"south"
2,36,"female",39.4261820509096,"north"
6,33,"male",55.4768941324772,"north"
1,30,"female",59.242569614545,"north"
1,38,"male",35.8571772679556,"north"
1,38,"female",72.5793656629386,"south"
6,30,"male",34.6,"north"
6,35,"female",62.8,"south"
6,32,"male",51.6,"north"
6,36,"male",52.3295682637493,"north"
2,38,"female",66.1272811810326,"south"
2,30,"female",37.3617799016303,"north"
1,30,"female",62.3636504013064,"south"
3,34,"male",51.6827956799164,"north"
3,35,"female",70.3793887114462,"south"
6,37,"female",67.8272343472495,"north"
3,31,"male",42.446191041876,"north"
3,32,"female",71.530369145909,"north"
2,34,"female",79.5861621303112,"south"
6,32,"male",42.5,"north"
6,39,"male",27.8,"south"
3,33,"female",50.9700536371662,"south"
3,31,"male",50.858798809599,"south"
2,34,"male",33.5869892726631,"north"
3,39,"male",42.7755462118055,"north"
3,39,"male",46.888484986396,"south"
6,39,"male",57,"south"
6,31,"male",43.9,"south"
6,38,"female",32.2,"north"
3,30,"male",49.8649622740626,"north"
3,36,"male",57.2454751773174,"south"
2,33,"female",65.9031477331526,"north"
6,36,"female",68.1498295624259,"north"
3,31,"male",65.0802532388123,"north"
6,30,"female",63.9,"south"
2,34,"female",72.8356846171757,"north"
6,33,"female",43.8,"south"
3,34,"female",34.346196725832,"north"
3,39,"female",58.5111233185127,"south"
3,33,"male",65.2685046246369,"north"
6,30,"male",62.1,"south"
1,39,"female",78.273787188965,"north"
6,31,"male",73.4,"north"
2,37,"male",60.9287143698919,"north"
2,33,"male",43.4943678711663,"south"
2,35,"female",65.2343279754016,"south"
2,37,"female",56.1712660197701,"north"
3,35,"female",50.9399564145333,"south"
1,39,"male",66.4436465037385,"north"
6,30,"male",36.1,"south"
2,33,"female",65.4028934399437,"south"
2,38,"male",26.3689760609459,"north"
3,32,"female",51.0427943067632,"north"
6,31,"male",48.1,"north"
1,39,"male",55.328220327303,"south"
1,32,"female",46.4738823060606,"south"
1,33,"female",43.1112376481466,"north"
2,30,"female",39.1631601407248,"north"
6,32,"female",46.9,"north"
1,31,"female",58.1536359124071,"north"
6,32,"male",30.4,"north"
6,39,"female",62.7,"south"
6,34,"female",52.9,"north"
1,36,"male",43.8448168005052,"north"
3,30,"male",68.6855246036074,"south"
3,34,"male",43.4246927368593,"south"
6,33,"male",54.1,"south"
3,37,"male",62.2574509176254,"south"
1,35,"female",56.5990620988986,"south"
2,34,"female",37.0358025272938,"north"
2,38,"male",48.1257067242208,"south"
3,31,"male",50.8597516687994,"south"
2,33,"female",71.7291410414749,"north"
2,34,"female",39.7718537994869,"south"
3,38,"male",45.4602752921784,"north"
2,37,"male",38.4760612000933,"north"
6,32,"male",47.5,"south"
1,31,"male",71.4290360665047,"north"
3,31,"male",60.2625965176899,"south"
2,35,"male",48.519671616886,"south"
2,33,"male",48.8711219074821,"north"
2,30,"male",38.3906814076353,"south"
1,39,"male",59.0527770906041,"south"
1,39,"female",33.0754786341059,"north"
2,34,"female",59.1281578817256,"south"
1,33,"male",37.5638742433835,"south"
2,30,"female",59.2137103978086,"south"
3,32,"female",64.6487247492002,"south"
3,30,"male",63.7492310658292,"north"
2,31,"male",78.653520191701,"south"
2,33,"female",29.3993308110027,"south"
1,31,"male",61.2886694999514,"north"
6,34,"male",18.7,"north"
6,31,"female",34,"north"
2,39,"female",67.7883080607994,"south"
6,33,"male",38.5,"south"
2,34,"female",60.1697378624578,"north"
6,38,"female",64.9,"south"
3,39,"female",68.4997386875841,"south"
3,37,"female",40.8545683585819,"north"
1,30,"female",49.3204170959047,"south"
2,33,"male",63.3437348225818,"south"
3,37,"male",66.1791257629189,"south"
1,31,"male",42.0129759881993,"north"
6,35,"female",55.7816853319268,"north"
3,36,"male",65.8587090656561,"north"
6,35,"male",21.4,"north"
1,37,"female",65.3101672757076,"south"
6,36,"female",50.1001356495991,"north"
2,34,"female",73.2212350763347,"north"
2,37,"female",58.7431803426927,"north"
1,39,"female",80.2172627254314,"north"
2,34,"female",42.0116845152062,"north"
3,34,"female",80.003643622444,"north"
3,38,"female",72.1538395832073,"north"
3,37,"male",35.0219364226654,"north"
6,36,"male",39.3,"north"
2,39,"female",79.5020677149673,"south"
6,37,"male",48.1,"north"
3,32,"male",57.6404938583577,"north"
3,39,"female",70.1732038993937,"south"
2,30,"male",39.2903759584213,"north"
3,32,"male",75.7013378362747,"south"
2,35,"male",32.6724568736718,"north"
6,34,"male",51.3,"north"
6,30,"female",55.1505680956355,"north"
1,34,"male",40.3806815081317,"south"
1,35,"female",59.9083474032792,"north"
1,35,"female",60.8740006808688,"south"
2,39,"male",54.6302471803635,"north"
2,31,"male",34.4408814441485,"north"
2,34,"male",30.1864799306468,"north"
6,34,"male",58.7,"north"
1,38,"female",59.2570188676871,"south"
1,32,"female",74.2997304522015,"south"
2,30,"female",61.9426950678991,"south"
1,35,"male",31.4148378845024,"south"
1,34,"female",74.4608198193315,"south"
1,35,"male",22.6914665554742,"north"
3,36,"male",41.3483969279199,"north"
6,36,"female",62.1,"south"
3,30,"male",63.8146855567968,"north"
3,35,"female",43.0819196652368,"north"
1,38,"female",56.8464361001214,"north"
6,34,"female",64.6887467636201,"north"
1,36,"female",61.6201043068542,"north"
6,39,"male",32.0939842455778,"north"
1,34,"female",64.0479309112126,"north"
1,38,"female",76.282703987691,"north"
1,39,"female",54.4964957537592,"south"
2,37,"male",43.5105350322338,"south"
2,30,"female",58.5935821619285,"south"
6,33,"male",62.9276268871026,"north"
2,33,"male",56.9129624292147,"north"
1,31,"female",61.8414291914764,"south"
1,36,"female",58.9088579671893,"south"
1,30,"female",20.3751662599956,"south"
1,38,"male",58.8102263484554,"north"
6,32,"male",51.6,"south"
1,30,"male",46.1611588174347,"south"
1,35,"female",70.4092027177482,"south"
3,36,"female",68.939888065369,"north"
3,37,"male",51.4975090250588,"south"
3,34,"male",61.2332443108159,"north"
3,31,"female",61.436762717016,"south"
1,37,"female",45.9294066966206,"north"
6,31,"male",73.2282997394709,"north"
6,34,"female",69.128666616822,"north"
2,32,"male",51.7439306853539,"north"
1,32,"female",64.2153991596121,"south"
3,32,"female",54.6423680658873,"north"
1,32,"male",67.7418583265798,"north"
2,38,"male",57.3588040535844,"south"
2,34,"female",72.8294061155825,"north"
2,33,"female",49.368210798283,"south"
1,39,"female",60.3516995750111,"south"
6,32,"male",16.9,"south"
1,31,"female",51.1471203412294,"south"
1,32,"female",55.1245499533613,"south"
6,30,"male",41.7,"south"
1,34,"male",36.8886439994364,"south"
3,35,"female",41.4588331439762,"south"
6,36,"male",51.9,"south"
1,31,"male",26.7464035743921,"north"
3,39,"male",36.060119315237,"south"
3,31,"female",67.8280436940785,"south"
3,30,"male",54.9930554007035,"south"
2,30,"male",48.2411452207175,"north"
2,33,"female",58.3857346107325,"south"
3,34,"female",70.1756396564093,"north"
6,39,"male",57.2,"north"
2,39,"male",40.1178533189769,"south"
1,34,"female",33.9529701961874,"south"
6,30,"female",51.2,"north"
6,37,"male",37.6,"north"
6,33,"male",48.7,"north"
1,30,"male",44.2664170578057,"north"
2,39,"male",31.248945495111,"south"
3,36,"male",35.33118138049,"south"
6,32,"male",57.9,"south"
6,39,"male",62.8438644687042,"north"
6,39,"female",52.5905461157416,"north"
3,39,"male",56.5796372300804,"north"
6,37,"female",62.1,"south"
6,31,"male",34.1,"south"
2,31,"male",32.2528437487211,"south"
3,32,"male",55.0555056717667,"north"
3,33,"male",24.8028655438065,"south"
6,33,"female",35.7,"south"
3,32,"female",69.6750340614406,"south"
2,31,"female",58.2996399596451,"south"
2,34,"male",14.1537303500746,"south"
6,35,"female",46.6148268051031,"north"
6,37,"female",46.7557834776603,"north"
2,38,"female",55.0523580233145,"south"
6,32,"female",74.3,"south"
2,38,"female",65.3772416738601,"north"
1,33,"female",65.2731669542165,"north"
3,33,"male",51.776297176299,"south"
6,31,"female",80.8,"south"
3,38,"male",24.9207343322495,"south"
2,37,"male",46.7631004865734,"south"
6,36,"female",60.9328779141644,"north"
1,34,"female",70.5883005902625,"north"
6,32,"male",52.4,"north"
1,30,"male",43.3316533474059,"north"
3,30,"female",36.1693959807713,"south"
2,32,"female",71.4433891663311,"north"
3,33,"male",55.3819854313887,"north"
2,30,"male",39.2731886552661,"north"
